tarih;gün;seri;ders;başlık;kanca;kitle;şablon;hassas;kesinlik;mevsim;ruh hali;ışık;gün batımı;gün türü;IG saat;TikTok saat;YT saat;IG etiket;TikTok etiket;YT etiket;YKS kalan;LGS kalan
2026-09-19;Cmt;Özel Gün;;İlk deneme bir harita;İlk denemen not değil. Harita.;öğrenci;tek-cumle;;kesin;Yeni başlangıç;Heves yüksek, plan kaygısı var. Düzen kurma zamanı.;gün batımı 18:43;18:43;cumartesi;13:00;14:30;12:30;#yks2027 #yks #motivasyon #eğitim #eğitimkoçluğu;#yks2027 #yks #motivasyon #eğitim #keşfet;#yks2027 #motivasyon #Shorts;273;267
2026-09-20;Paz;Pazar Akşamı;;Pazar akşamı ağırlığı;Pazar akşamı içinde bir ağırlık mı var? Yalnız değilsin.;öğrenci;tek-cumle;;kesin;Yeni başlangıç;Heves yüksek, plan kaygısı var. Düzen kurma zamanı.;gün batımı 18:42;18:42;pazar;20:00;21:00;19:00;#yks2027 #yks #motivasyon #sınavkaygısı #eğitimkoçluğu;#yks2027 #yks #motivasyon #sınavkaygısı #keşfet;#yks2027 #motivasyon #Shorts;272;266
2026-09-21;Pzt;Haftanın Planı;;Haftayı üç işle başlat;Bu hafta her şeyi yapmayacaksın. Üç şeyi yapacaksın.;öğrenci;kart-liste;;kesin;Yeni başlangıç;Heves yüksek, plan kaygısı var. Düzen kurma zamanı.;gün batımı 18:40;18:40;okul;20:30;21:30;19:30;#yks2027 #yks #verimliçalışma #çalışmaplanı #eğitimkoçluğu;#yks2027 #yks #verimliçalışma #çalışmaplanı #keşfet;#yks2027 #verimliçalışma #Shorts;271;265
2026-09-22;Sal;Ders Taktiği;TYT Türkçe;Paragrafta önce soru kökü;Paragrafı okumadan önce soruyu oku. 20 saniye kazanırsın.;öğrenci;soru-cozum;;kesin;Yeni başlangıç;Heves yüksek, plan kaygısı var. Düzen kurma zamanı.;gün batımı 18:39;18:39;okul;20:30;21:30;19:30;#yks2027 #yks #türkçe #derstaktikleri #eğitimkoçluğu;#yks2027 #yks #türkçe #derstaktikleri #keşfet;#yks2027 #türkçe #Shorts;270;264
2026-09-23;Çar;Aynı Hafta;;Mezun yılı;Geçen yıl kazanamadım. Bu yıl da olmazsa?;öğrenci;yazisma;;kesin;Yeni başlangıç;Heves yüksek, plan kaygısı var. Düzen kurma zamanı.;gün batımı 18:37;18:37;okul;20:30;21:30;19:30;#yks2027 #yks #sınavstresi #yksmotivasyon #eğitimkoçluğu;#yks2027 #yks #sınavstresi #yksmotivasyon #keşfet;#yks2027 #sınavstresi #Shorts;269;263
2026-09-24;Per;Veli Köşesi;;LGS velisi;8. sınıf velisi: LGS yılında en sık yapılan 3 hata.;veli;kart-veli;;kesin;Yeni başlangıç;Heves yüksek, plan kaygısı var. Düzen kurma zamanı.;gün batımı 18:36;18:36;veli;21:00;20:30;20:00;#yks2027 #lgs #sınavyılı #mersin #eğitimkoçluğu;#yks2027 #lgs #sınavyılı #mersin #keşfet;#yks2027 #sınavyılı #Shorts;268;262
2026-09-25;Cum;Doğru Bilinen Yanlışlar;;11. sınıf erken;‘Daha 11. sınıftayım.’ En ucuz yıl şimdi.;öğrenci;efsane-gercek;;kesin;Yeni başlangıç;Heves yüksek, plan kaygısı var. Düzen kurma zamanı.;gün batımı 18:34;18:34;okul;20:30;21:30;19:30;#yks2027 #yks #doğrubilinenyanlışlar #çalışmayöntemleri #eğitimkoçluğu;#yks2027 #yks #doğrubilinenyanlışlar #çalışmayöntemleri #keşfet;#yks2027 #doğrubilinenyanlışlar #Shorts;267;261
2026-09-26;Cmt;Deneme Günü;;İlk deneme;İlk deneme bir harita. Not değil.;öğrenci;kart-liste;;kesin;Yeni başlangıç;Heves yüksek, plan kaygısı var. Düzen kurma zamanı.;gün batımı 18:33;18:33;cumartesi;13:00;14:30;12:30;#yks2027 #yks #netartırma #tytdeneme #eğitimkoçluğu;#yks2027 #yks #netartırma #tytdeneme #keşfet;#yks2027 #netartırma #Shorts;266;260
2026-09-27;Paz;Pazar Akşamı;;Haftayı kapat;Bu haftanın tek iyi şeyini yaz. Bir tane yeter.;öğrenci;tek-cumle;;kesin;Yeni başlangıç;Heves yüksek, plan kaygısı var. Düzen kurma zamanı.;gün batımı 18:31;18:31;pazar;20:00;21:00;19:00;#yks2027 #yks #sınavkaygısı #pazarakşamı #eğitimkoçluğu;#yks2027 #yks #sınavkaygısı #pazarakşamı #keşfet;#yks2027 #sınavkaygısı #Shorts;265;259
2026-09-28;Pzt;Haftanın Planı;;Plan kâğıtta değil, takvimde;Yazdığın plan değil, saat verdiğin plan çalışır.;öğrenci;kart-liste;;kesin;Yeni başlangıç;Heves yüksek, plan kaygısı var. Düzen kurma zamanı.;gün batımı 18:30;18:30;okul;20:30;21:30;19:30;#yks2027 #yks #çalışmaplanı #planlıçalışma #eğitimkoçluğu;#yks2027 #yks #çalışmaplanı #planlıçalışma #keşfet;#yks2027 #çalışmaplanı #Shorts;264;258
